pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the photographers next to the potter helped the essayist .,the photographers helped the essayist .,,,,,,,,,,,,,,,
1,entailment,the actors by the engineers supported the pencillers .,the actors supported the pencillers .,,,,,,,,,,,,,,,
160,entailment,the essayists that agreed admired the animators .,the essayists admired the animators .,,,,,,,,,,,,,,,
161,entailment,the stylists who waited addressed the baker .,the stylists addressed the baker .,,,,,,,,,,,,,,,
320,entailment,the photographer who the artists supported thanked the engineers .,the photographer thanked the engineers .,,,,,,,,,,,,,,,
321,entailment,the photographer who the potter thanked supported the tourists .,the photographer supported the tourists .,,,,,,,,,,,,,,,
480,entailment,the therapist that saw the illustrator thanked the photographer .,the therapist thanked the photographer .,,,,,,,,,,,,,,,
481,entailment,the counselor who brought the technologists deceived the officer .,the counselor deceived the officer .,,,,,,,,,,,,,,,
640,entailment,the officer and the baker addressed the engineers .,the officer addressed the engineers .,,,,,,,,,,,,,,,
641,entailment,the illustrator and the artists helped the writers .,the illustrator helped the writers .,,,,,,,,,,,,,,,
800,entailment,the essayist offended the technician and the directors .,the essayist offended the directors .,,,,,,,,,,,,,,,
801,entailment,the writers addressed the artists and the essayists .,the writers addressed the essayists .,,,,,,,,,,,,,,,
960,entailment,the technician was offended by the psychiatrists .,the psychiatrists offended the technician .,,,,,,,,,,,,,,,
961,entailment,the baker was admired by the psychologist .,the psychologist admired the baker .,,,,,,,,,,,,,,,
1120,entailment,the engineers were advised by the photographers .,the photographers advised the engineers .,,,,,,,,,,,,,,,
1121,entailment,the officers were helped by the strategist .,the strategist helped the officers .,,,,,,,,,,,,,,,
1440,entailment,the animator that advised the technicians helped the doctor .,the animator advised the technicians .,,,,,,,,,,,,,,,
1441,entailment,the pencillers that admired the animators addressed the tourists .,the pencillers admired the animators .,,,,,,,,,,,,,,,
1760,entailment,the stylists brought the director who the essayist admired .,the essayist admired the director .,,,,,,,,,,,,,,,
1761,entailment,the potter brought the illustrator that the psychiatrists admired .,the psychiatrists admired the illustrator .,,,,,,,,,,,,,,,
1920,neutral,the psychologists in front of the technologist saw the tourists .,the technologist saw the psychologists .,,,,,,,,,,,,,,,
1921,neutral,the presidents near the officers brought the bakers .,the officers brought the presidents .,,,,,,,,,,,,,,,
2080,neutral,the therapists in front of the artist deceived the counselor .,the counselor deceived the therapists .,,,,,,,,,,,,,,,
2081,neutral,the animator behind the artists advised the technician .,the technician advised the animator .,,,,,,,,,,,,,,,
2400,neutral,the essayists helped the engineers next to the potter .,the engineers helped the essayists .,,,,,,,,,,,,,,,
2401,neutral,the writers offended the tourist behind the illustrator .,the tourist offended the writers .,,,,,,,,,,,,,,,
2560,neutral,the director helped the administrator near the dancer .,the administrator helped the dancer .,,,,,,,,,,,,,,,
2561,neutral,the officers brought the strategists behind the counselor .,the strategists brought the counselor .,,,,,,,,,,,,,,,
2720,neutral,the psychologists needed the illustrators behind the administrator .,the administrator needed the psychologists .,,,,,,,,,,,,,,,
2721,neutral,the psychiatrist thanked the engineer behind the administrator .,the administrator thanked the psychiatrist .,,,,,,,,,,,,,,,
2880,neutral,the animators who the photographer helped supported the penciller .,the photographer supported the animators .,,,,,,,,,,,,,,,
2881,neutral,the animators that the doctor addressed offended the psychologists .,the doctor offended the animators .,,,,,,,,,,,,,,,
3040,neutral,the counselor who the writers supported addressed the technicians .,the technicians addressed the counselor .,,,,,,,,,,,,,,,
3041,neutral,the writer that the penciller helped admired the technologist .,the technologist admired the writer .,,,,,,,,,,,,,,,
3360,neutral,the dancer that thanked the illustrators supported the writer .,the illustrators supported the dancer .,,,,,,,,,,,,,,,
3361,neutral,the artists that saw the writers thanked the technologists .,the writers thanked the artists .,,,,,,,,,,,,,,,
3520,neutral,the president that deceived the writers helped the photographer .,the photographer helped the president .,,,,,,,,,,,,,,,
3521,neutral,the pencillers that saw the artist helped the photographer .,the photographer helped the pencillers .,,,,,,,,,,,,,,,
3680,neutral,the artists that needed the photographers offended the therapist .,the therapist offended the photographers .,,,,,,,,,,,,,,,
3681,neutral,the animator who needed the officer helped the dancers .,the dancers helped the officer .,,,,,,,,,,,,,,,
3840,neutral,the technologists deceived the potters that offended the tourists .,the potters deceived the technologists .,,,,,,,,,,,,,,,
3841,neutral,the psychologist saw the actor who supported the administrators .,the actor saw the psychologist .,,,,,,,,,,,,,,,
4000,neutral,the tourists addressed the potters who offended the technicians .,the potters addressed the technicians .,,,,,,,,,,,,,,,
4001,neutral,the artist deceived the therapist that saw the strategist .,the therapist deceived the strategist .,,,,,,,,,,,,,,,
4160,neutral,the photographer addressed the writer who deceived the pencillers .,the pencillers addressed the photographer .,,,,,,,,,,,,,,,
4161,neutral,the dancers thanked the officer that offended the artist .,the artist thanked the dancers .,,,,,,,,,,,,,,,
4320,neutral,the psychologists addressed the psychiatrist that the bakers supported .,the psychiatrist addressed the psychologists .,,,,,,,,,,,,,,,
4321,neutral,the technologist thanked the tourist that the writers advised .,the tourist thanked the technologist .,,,,,,,,,,,,,,,
4480,neutral,the therapists admired the technicians who the potters thanked .,the technicians admired the potters .,,,,,,,,,,,,,,,
4481,neutral,the potter offended the illustrators that the photographers thanked .,the illustrators offended the photographers .,,,,,,,,,,,,,,,
4640,neutral,the photographers advised the artists who the technologist helped .,the technologist advised the photographers .,,,,,,,,,,,,,,,
4641,neutral,the engineer advised the technologist that the psychiatrist admired .,the psychiatrist advised the engineer .,,,,,,,,,,,,,,,
4800,neutral,the writer was offended by the artists .,the writer offended the artists .,,,,,,,,,,,,,,,
4801,neutral,the doctor was brought by the officers .,the doctor brought the officers .,,,,,,,,,,,,,,,
4960,neutral,the writers were needed by the penciller .,the writers needed the penciller .,,,,,,,,,,,,,,,
4961,neutral,the dancers were addressed by the technicians .,the dancers addressed the technicians .,,,,,,,,,,,,,,,
5120,neutral,the pencillers and the stylist saw the animators .,the pencillers saw the stylist .,,,,,,,,,,,,,,,
5121,neutral,the dancers and the director addressed the technologist .,the dancers addressed the director .,,,,,,,,,,,,,,,
5280,neutral,the engineers and the strategist advised the technologist .,the strategist advised the engineers .,,,,,,,,,,,,,,,
5281,neutral,the animators and the strategist admired the dancer .,the strategist admired the animators .,,,,,,,,,,,,,,,
5440,neutral,the dancers saw the actors and the tourists .,the actors saw the tourists .,,,,,,,,,,,,,,,
5441,neutral,the photographers brought the technologist and the tourist .,the technologist brought the tourist .,,,,,,,,,,,,,,,
5600,neutral,the therapists advised the artists and the technologist .,the technologist advised the artists .,,,,,,,,,,,,,,,
5601,neutral,the directors supported the photographer and the engineers .,the engineers supported the photographer .,,,,,,,,,,,,,,,
5760,neutral,the artist deceived the counselors .,the counselors deceived the artist .,,,,,,,,,,,,,,,
5761,neutral,the actors addressed the essayists .,the essayists addressed the actors .,,,,,,,,,,,,,,,
5920,entailment,silly dancers continued .,dancers continued .,,,,,,,,,,,,,,,
5921,entailment,famous technicians appeared .,technicians appeared .,,,,,,,,,,,,,,,
6080,entailment,silly doctors addressed the directors .,doctors addressed the directors .,,,,,,,,,,,,,,,
6081,entailment,popular engineers admired the animators .,engineers admired the animators .,,,,,,,,,,,,,,,
6400,entailment,the penciller offended the actor that agreed .,the penciller offended the actor .,,,,,,,,,,,,,,,
6401,entailment,the president saw the officer that existed .,the president saw the officer .,,,,,,,,,,,,,,,
6560,entailment,the writer brought the stylist that the essayist saw .,the writer brought the stylist .,,,,,,,,,,,,,,,
6561,entailment,the administrator admired the dancers that the psychologists needed .,the administrator admired the dancers .,,,,,,,,,,,,,,,
6720,entailment,the administrators needed the artists who thanked the technician .,the administrators needed the artists .,,,,,,,,,,,,,,,
6721,entailment,the essayist admired the penciller that offended the dancer .,the essayist admired the penciller .,,,,,,,,,,,,,,,
6880,entailment,the baker addressed the therapist in front of the writers .,the baker addressed the therapist .,,,,,,,,,,,,,,,
6881,entailment,the pencillers thanked the illustrators next to the technologist .,the pencillers thanked the illustrators .,,,,,,,,,,,,,,,
7200,entailment,the illustrators and the technician saw the potters .,the technician saw the potters .,,,,,,,,,,,,,,,
7201,entailment,the psychiatrists and the tourists brought the officer .,the tourists brought the officer .,,,,,,,,,,,,,,,
7360,entailment,the technologist deceived the technicians and the dancer .,the technologist deceived the technicians .,,,,,,,,,,,,,,,
7361,entailment,the tourist brought the technicians and the animators .,the tourist brought the technicians .,,,,,,,,,,,,,,,
7520,neutral,the photographers in front of the potter yelled .,the potter yelled .,,,,,,,,,,,,,,,
7521,neutral,the president in front of the actor appeared .,the actor appeared .,,,,,,,,,,,,,,,
7840,neutral,the potter who offended the administrator yelled .,the administrator yelled .,,,,,,,,,,,,,,,
7841,neutral,the doctors who advised the artist appeared .,the artist appeared .,,,,,,,,,,,,,,,
8000,neutral,the officer that needed the photographers addressed the artist .,the photographers addressed the artist .,,,,,,,,,,,,,,,
8001,neutral,the actor that saw the bakers helped the potters .,the bakers helped the potters .,,,,,,,,,,,,,,,
8160,neutral,the engineers helped in the school waited .,the engineers helped in the school .,,,,,,,,,,,,,,,
8161,neutral,the stylists studied in the office voted .,the stylists studied in the office .,,,,,,,,,,,,,,,
8320,neutral,the potter investigated in the office advised the psychiatrist .,the potter investigated in the office .,,,,,,,,,,,,,,,
8321,neutral,the essayist paid in the office addressed the illustrators .,the essayist paid in the office .,,,,,,,,,,,,,,,
8480,neutral,the psychologist needed the administrator investigated in the library .,the administrator investigated in the library .,,,,,,,,,,,,,,,
8481,neutral,the therapists advised the dancer presented in the library .,the dancer presented in the library .,,,,,,,,,,,,,,,
8800,neutral,"although the illustrator moved , the psychologists deceived the potters .",the illustrator moved the psychologists .,,,,,,,,,,,,,,,
8801,neutral,"while the therapist presented , the psychologists admired the counselor .",the therapist presented the psychologists .,,,,,,,,,,,,,,,
8960,neutral,the artists believed the essayist ran .,the artists believed the essayist .,,,,,,,,,,,,,,,
8961,neutral,the directors believed the writers talked .,the directors believed the writers .,,,,,,,,,,,,,,,
9280,entailment,"though the writers agreed , the artists grew .",the artists grew .,,,,,,,,,,,,,,,
9281,entailment,"before the potter voted , the dancer waited .",the dancer waited .,,,,,,,,,,,,,,,
9440,entailment,"though the illustrators thanked the artists , the tourists waited .",the tourists waited .,,,,,,,,,,,,,,,
9441,entailment,"after the counselor offended the psychologists , the dancers voted .",the dancers voted .,,,,,,,,,,,,,,,
9600,entailment,"before the director arrived , the administrators helped the essayist .",the administrators helped the essayist .,,,,,,,,,,,,,,,
9601,entailment,"though the essayist resigned , the counselor offended the director .",the counselor offended the director .,,,,,,,,,,,,,,,
9760,entailment,"because the director saw the doctors , the actors advised the stylist .",the actors advised the stylist .,,,,,,,,,,,,,,,
9761,entailment,"after the directors needed the technician , the illustrators brought the dancer .",the illustrators brought the dancer .,,,,,,,,,,,,,,,
9920,entailment,"in case the actor continued , the doctor yelled .",the doctor yelled .,,,,,,,,,,,,,,,
9921,entailment,"in case the director existed , the engineers waited .",the engineers waited .,,,,,,,,,,,,,,,
10240,entailment,"in case the photographer agreed , the dancer thanked the illustrators .",the dancer thanked the illustrators .,,,,,,,,,,,,,,,
10241,entailment,"in case the engineers talked , the director needed the psychiatrist .",the director needed the psychiatrist .,,,,,,,,,,,,,,,
10720,entailment,"whether or not the actor supported the therapist , the penciller talked .",the penciller talked .,,,,,,,,,,,,,,,
10721,entailment,"whether or not the strategists needed the baker , the animators grew .",the animators grew .,,,,,,,,,,,,,,,
10880,entailment,"whether or not the writer agreed , the officer needed the strategist .",the officer needed the strategist .,,,,,,,,,,,,,,,
10881,entailment,"whether or not the officers agreed , the director deceived the artist .",the director deceived the artist .,,,,,,,,,,,,,,,
11040,entailment,"whether or not the strategists addressed the officer , the bakers helped the actors .",the bakers helped the actors .,,,,,,,,,,,,,,,
11041,entailment,"whether or not the psychologists saw the potters , the essayists deceived the baker .",the essayists deceived the baker .,,,,,,,,,,,,,,,
11520,entailment,"the dancer voted , and the bakers grew .",the dancer voted .,,,,,,,,,,,,,,,
11521,entailment,"the tourist appeared , and the counselor yelled .",the tourist appeared .,,,,,,,,,,,,,,,
12000,entailment,"the potters thanked the technician , and the artists supported the writers .",the potters thanked the technician .,,,,,,,,,,,,,,,
12001,entailment,"the technician needed the therapists , and the director advised the artist .",the technician needed the therapists .,,,,,,,,,,,,,,,
12160,entailment,"the administrator agreed , and the psychiatrists voted .",the psychiatrists voted .,,,,,,,,,,,,,,,
12161,entailment,"the artists resigned , and the pencillers voted .",the pencillers voted .,,,,,,,,,,,,,,,
12320,entailment,"the counselors appeared , and the essayist admired the tourists .",the essayist admired the tourists .,,,,,,,,,,,,,,,
12321,entailment,"the administrator agreed , and the animators addressed the technologist .",the animators addressed the technologist .,,,,,,,,,,,,,,,
12480,entailment,"the officer offended the strategist , and the pencillers existed .",the pencillers existed .,,,,,,,,,,,,,,,
12481,entailment,"the administrators saw the technologist , and the stylists waited .",the stylists waited .,,,,,,,,,,,,,,,
13120,entailment,without a doubt the actors arrived .,the actors arrived .,,,,,,,,,,,,,,,
13121,entailment,without a doubt the engineers appeared .,the engineers appeared .,,,,,,,,,,,,,,,
13280,entailment,without a doubt the officers thanked the actors .,the officers thanked the actors .,,,,,,,,,,,,,,,
13281,entailment,without a doubt the directors thanked the artists .,the directors thanked the artists .,,,,,,,,,,,,,,,
13440,entailment,of course the artist yelled .,the artist yelled .,,,,,,,,,,,,,,,
13441,entailment,of course the artists grew .,the artists grew .,,,,,,,,,,,,,,,
13760,entailment,"before the writers ran , the strategist agreed .",the writers ran .,,,,,,,,,,,,,,,
13761,entailment,"while the tourist grew , the potter continued .",the tourist grew .,,,,,,,,,,,,,,,
13920,entailment,"while the actors continued , the illustrator thanked the officers .",the actors continued .,,,,,,,,,,,,,,,
13921,entailment,"since the bakers yelled , the strategists offended the presidents .",the bakers yelled .,,,,,,,,,,,,,,,
