pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the potters next to the directors avoided the essayist .,the potters avoided the essayist .,,,,,,,,,,,,,,,
1,entailment,the scientist by the stylist supported the colorists .,the scientist supported the colorists .,,,,,,,,,,,,,,,
2,entailment,the psychiatrist next to the directors found the dancers .,the psychiatrist found the dancers .,,,,,,,,,,,,,,,
3,entailment,the director by the scientist supported the writers .,the director supported the writers .,,,,,,,,,,,,,,,
4,entailment,the bankers by the potter introduced the senator .,the bankers introduced the senator .,,,,,,,,,,,,,,,
5,entailment,the senators by the chaplains avoided the illustrators .,the senators avoided the illustrators .,,,,,,,,,,,,,,,
6,entailment,the actor next to the professors thanked the musicians .,the actor thanked the musicians .,,,,,,,,,,,,,,,
7,entailment,the programmers by the actor supported the stylist .,the programmers supported the stylist .,,,,,,,,,,,,,,,
160,entailment,the therapist that agreed mentioned the colorist .,the therapist mentioned the colorist .,,,,,,,,,,,,,,,
161,entailment,the therapist that cried avoided the tourists .,the therapist avoided the tourists .,,,,,,,,,,,,,,,
162,entailment,the professors that agreed found the stylists .,the professors found the stylists .,,,,,,,,,,,,,,,
163,entailment,the penciller that panicked deceived the counselors .,the penciller deceived the counselors .,,,,,,,,,,,,,,,
164,entailment,the psychiatrist that resigned supported the doctor .,the psychiatrist supported the doctor .,,,,,,,,,,,,,,,
165,entailment,the stylists that danced found the baker .,the stylists found the baker .,,,,,,,,,,,,,,,
166,entailment,the doctor that arrived supported the counselor .,the doctor supported the counselor .,,,,,,,,,,,,,,,
167,entailment,the counselors that slept thanked the tourist .,the counselors thanked the tourist .,,,,,,,,,,,,,,,
