guid,label,premise,hypothesis,expl1,template
2644326817.jpg#3r1e,entailment,A dog drops a red disc on a beach.,a dog drops a red disc,On a beach is a description that can be left out without substantially changing the meaning.,
4195751574.jpg#3r1e,entailment,A woman preparing to glaze a bowl.,A woman preparing to glaze,A woman is preparing to use glaze.,
4679111230.jpg#3r1e,entailment,Exhausted looking firemen are walking.,Firemen are walking.,The firemen walking look exhausted.,
290764786.jpg#4r1e,entailment,A man resting on a street.,A man resting on a street.,It is the exact same sentence: a man resting on a street.,
535179217.jpg#2r1e,entailment,People are fishing and walking next to the water.,People are fishing and walking next to the water.,"""People are fishing and walking next to the water"" and ""people fishing and walking next to the water"" are identical.",
3146232740.jpg#3r1e,entailment,A dog is fetching a stick out of very clear water.,A dog is fetching a stick out of very clear water.,Both statements tell of a dog fetching a stick out of very clear water.,
6979303317.jpg#1r1e,entailment,Three men are smiling and posing behind a truck loaded with various construction supplies.,Three men are smiling,Three men are smiling while posing.,
2210059361.jpg#0r1e,entailment,A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are wearing hats,Children can be wearing hats.,
3497238310.jpg#2r1e,entailment,A line of basketball players doing a drill.,players doing a drill,basket ball players who are doing a drill,
2230983294.jpg#1r1e,entailment,An elderly woman and another younger woman greeting each other.,An elderly woman and another younger woman,An elderly woman and a younger woman can be greeting each other.,
2976684095.jpg#0r1e,entailment,A kid does a tumbling move over a leaf-covered lawn near sundown.,a kid does a tumbling move,THEY ARE TUMBLING.,
124390903.jpg#2r1n,neutral,A woman holds a plate of goodies for her little princess.,Woman holds a plate of goodies,All woman doesn't holds a plates of goodies for her little princess,
3143032614.jpg#4r1e,entailment,A group of people are on a canyon.,People are on a canyon.,People means a group,
32080607.jpg#0r1e,entailment,Two men stand in the middle of a square of traffic cones placed underneath a traffic signal in front of a Volvo dealership.,Two men stand in the middle of a square of traffic,Cones placed underneath a traffic signal is traffic,
63791851.jpg#2r1e,entailment,There is a homeless man outside this building.,There is a homeless man outside this building.,Both sentence have homeless man outside,
2481968683.jpg#0r1n,neutral,A group of old and young people standing in a dirt field with a herd of sheep against a deep blue sky.,A group of old and young people standing in a dirt field .,not every field is under a blue sky,
2481968683.jpg#0r1e,entailment,A group of old and young people standing in a dirt field with a herd of sheep against a deep blue sky.,A group of old and young people standing in a dirt field with a herd of sheep .,"The group is outside in a dirt field, meaning the sky would be visible.",
3419238351.jpg#3r1e,entailment,A bunch of people watching a child in the bathtub.,A bunch of people watching a child in the bathtub,The sentences are the exact same regarding a child in the bath tub.,
4717497965.jpg#3r1e,entailment,Several older people stand in front of a food booth.,People stand in front of a food booth.,They are people because they are several older people.,
2892989340.jpg#0r1e,entailment,Youth in white T-shirt on a white surfboard in the water.,Youth in white T-shirt on a white surfboard in the water.,Youth is in a white T-shirt in the water while he is on a white surfboard.,
6468440411.jpg#1r1e,entailment,A man is lying down next to a river and smoking a cigarette.,a man is lying down,a man is lying down is the same statement in both situations.,
6935146937.jpg#3r1e,entailment,Number 33 slam dunks in his cool green sneakers.,number 33 slam dunks,number 33 is a restatement of Number 33.,
50030244.jpg#3r1e,entailment,A group of cats sit in the grass.,Cats sit in the grass.,A group of cats imply multiple cats sitting in the grass.,
4542018645.jpg#1r1e,entailment,A man in blue shorts diving into water.,A man in blue shorts,"If he is in public, he must be wearing shorts.",
6276644870.jpg#3r2e,entailment,Two motorcyclist racing on an inclined track.,Two motorcyclist racing,The motorcyclist racing can only be racing on an inclined track.,
466933481.jpg#4r1e,entailment,A woman on a swing is wearing one shoe.,A woman on a swing is wearing one shoe,"A woman on a swing is wearing one shoe is identical with a woman on a swing is wearing one shoe, and implies that nothing has changed.",
290650302.jpg#4r1e,entailment,A woman in red wears glasses and long earrings.,a woman in red,A woman in red is the woman wearing glasses and long earrings.,
2537697530.jpg#4r1e,entailment,City workers are working on the subway.,city workers are working,working on the subway  shows that  city workers are working,
1801697440.jpg#3r1e,entailment,A man in a white tank top sitting down looking at a laptop.,A man in a white tank top sitting down looking at a laptop,A man in a white tank top is sitting down,
4398587015.jpg#1r1e,entailment,A man with a green and black jacket and white helmet rides a motorbike in front of a crowd.,A man with a green and black jacket and white helmet rides a motorbike,a man rides motorcycle in front of crowd,
200764658.jpg#0r1e,entailment,A view through a door into a small tiled room where a man and two children are asleep on the floor.,A man and two children are asleep on the floor,A man and two children are asleep on the floor is the same as a man and two children are asleep on the floor.,
56012911.jpg#2r1e,entailment,An Indian woman holds a child while looking at a large group of birds on the ground.,an indian woman holds a child,An indian woman holds a child is less descriptive way of saying that that an Indian woman holds a child while looking at a large group of birds on the ground.,
3640020134.jpg#4r3e,entailment,A dog running in the surf.,Dog running in the surf,A dog and dog are interchangeable.,
2725089128.jpg#3r1e,entailment,Two young girls are outside in dresses.,Two young girls are outside,Two young girls are outside entails their activities in dresses.,
2771105620.jpg#1r1e,entailment,A group of young men wearing helmets and armed with golf clubs form a line and prepare to defend a cause.,A group of young men wearing helmets,People wearing helmets could be prepared to defend a cause.,
3834502656.jpg#4r1e,entailment,A man working in a metal shop,a man working,A man working is clearly defined.,
4701104270.jpg#3r1e,entailment,Two women standing in front of a map.,two women standing,Standing in front of a map requires one to be standing.,
602612183.jpg#4r1e,entailment,Women are working at looms.,Women are working,Working at looms is how they are working.,
7493450658.jpg#2r1n,neutral,A woman is walking her bike past a group of people.,A woman is walking,You can not infer she is walking.,
3837068037.jpg#0r1e,entailment,A four men (one wearing blue swim goggles) and one woman swimming when it is extremely mist with a building in the background,A four men (one wearing blue swim goggles) and one woman swimming,A group of men and a woman are swimming in the mist.,
2905948395.jpg#3r1e,entailment,A person doing a leap with his bike over a hill,a person doing a leap,A person can only be leaping with a bike over a hill.,
4151679198.jpg#3r1e,entailment,Several girls are having a discussion after rollerskating.,Several girls are having a discussion,Several girls are having a discussion in both sentences which implies they are the same girls.,
2430216444.jpg#4r1e,entailment,A group of people are performing on stage.,People are performing on stage.,a group of people is simply more descriptive than people.,
468760987.jpg#0r1e,entailment,"A man in a lawn chair gives a small boy a hug and kiss, while another small boy in a yellow shirt plays in the sand with his toys.",A man in a lawn chair gives a small boy a hug and kiss,man  implies  man,
3458559770.jpg#3r1e,entailment,The biker in blue is going around a corner.,The biker in blue is going around a corner.,The biker in blue is going around a corner is a repeat of the original scenario.,
3693415584.jpg#4r1e,entailment,A woman in an orange shirt is weaving.,A woman in an orange shirt is weaving.,A woman in an orange shirt is weaving is same as a woman in an orange shirt is weaving.,
6907176643.jpg#3r1e,entailment,"Two people run and dive, one has a frisbee.",Two people run and dive,"That two people run and dive is a fact, whether one has a frisbee or not.",
4621091937.jpg#1r1e,entailment,The gentlemen wait not speaking to one another.,the gentlemen wait,"""The gentlemen wait"" is a subset of ""The gentlemen wait not speaking to one another.""",
2480000122.jpg#4r1e,entailment,A sculptor is carving stone.,A sculptor is carving,"If a sculptor is carving stone, that means the sculptor is carving.",
4787655421.jpg#0r1e,entailment,"A knight in full armor, including a protective, ventilated headpiece, rides his horse and carries his shield.","A knight in full armor, including a protective, ventilated headpiece, rides his horse",The knight rides his horse.,
1674493314.jpg#4r3e,entailment,An African woman makes pots.,An african woman makes pots.,"If an African woman makes pots, she is an African woman who makes pots. The two ideas ar identical.",
4175738621.jpg#0r4e,entailment,A man is standing in a room in which various pots and crafts are scattered behind him with another man while a group of people enter the room behind him.,a man is standing,"Saying that ""a man is standing"" is a reproduction of the first part of the longer description, in which the man is said to be standing, and doing so in a room with another man and crafts while a group of people enter the room.",
4802552043.jpg#3r1n,neutral,man standing against blue wall with shirt on head,man standing against blue wall,"All of the information in sentence two can be inferred from sentence one, there is nothing to highlight. I had to highlight at least one word to submit the hit so i chose man.",
3475756130.jpg#0r1e,entailment,A man and woman are in the kitchen and a package of Challenge butter is in the foreground.,A man and woman are in the kitchen,It is a rephrasing of a man and woman are in the kitchen and butter is usually found in a kitchen,
3666796674.jpg#2r1e,entailment,People walking down a busy street in the middle east.,people walking down a busy street,People in the middle east are walking down a busy street.,
4735420253.jpg#2r1e,entailment,A woman raises her hand as a bus passes by.,A woman raises her hand,You cannot raise her hand while just raising a hand as a bus passes by.,
235287598.jpg#1r1e,entailment,A young girl is fishing from a dock on a lake while the sun is setting.,A young girl is fishing,Fishing can be at a lake.,
71406758.jpg#3r1e,entailment,seven well dressed people stand in a church.,People stand in a church.,People can stand in a church whether they are well dressed or not.,
4967475041.jpg#2r1e,entailment,An old Asian man walks with a filled bag down the sidewalk.,An old Asian man walks with a filled bag,Walks with a filled bag is not less descript way to say walks with a filled bag down the sidewalk.,
4967475041.jpg#0r1e,entailment,A man holding a plastic bag walks down the sidewalk wearing a white tank top and black pants.,A man holding a plastic bag walks down the sidewalk,Walks down the sidewalk is less descript way to say walks down the sidewalk wearing a white tank top.,
